fecha,mes_interes,year_interes,tipo_tasa,agente,plazo,excepcion,valor_tasa
2017-01-06T00:00:00Z,Enero,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.96
2017-02-06T00:00:00Z,Febrero,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.96
2017-05-06T00:00:00Z,Mayo,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.94
2017-06-06T00:00:00Z,Junio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.9
2017-07-06T00:00:00Z,Julio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.9
2017-08-06T00:00:00Z,Agosto,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.89
2017-09-06T00:00:00Z,Septiembre,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.87
2017-12-06T00:00:00Z,Diciembre,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.86
2017-06-13T00:00:00Z,Junio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.84
2017-06-14T00:00:00Z,Junio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.81
2017-06-15T00:00:00Z,Junio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.8
2017-06-16T00:00:00Z,Junio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.73
2017-06-20T00:00:00Z,Junio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.78
2017-06-21T00:00:00Z,Junio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.75
2017-06-22T00:00:00Z,Junio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.73
2017-06-23T00:00:00Z,Junio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.68
2017-06-27T00:00:00Z,Junio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.65
2017-06-28T00:00:00Z,Junio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.64
2017-06-29T00:00:00Z,Junio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.54
2017-06-30T00:00:00Z,Junio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.52
2017-04-07T00:00:00Z,Abril,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.43
2017-05-07T00:00:00Z,Mayo,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.37
2017-06-07T00:00:00Z,Junio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.32
2017-07-07T00:00:00Z,Julio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.34
2017-10-07T00:00:00Z,Octubre,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.34
2017-11-07T00:00:00Z,Noviembre,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.35
2017-12-07T00:00:00Z,Diciembre,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.35
2017-07-13T00:00:00Z,Julio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.33
2017-07-14T00:00:00Z,Julio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.33
2017-07-17T00:00:00Z,Julio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.3
2017-07-18T00:00:00Z,Julio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.29
2017-07-19T00:00:00Z,Julio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.28
2017-07-21T00:00:00Z,Julio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.3
2017-07-24T00:00:00Z,Julio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.25
2017-07-25T00:00:00Z,Julio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.21
2017-07-26T00:00:00Z,Julio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.2
2017-07-27T00:00:00Z,Julio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.2
2017-07-28T00:00:00Z,Julio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.27
2017-07-31T00:00:00Z,Julio,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.25
2017-01-08T00:00:00Z,Enero,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.24
2017-02-08T00:00:00Z,Febrero,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.25
2017-03-08T00:00:00Z,Marzo,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.23
2017-04-08T00:00:00Z,Abril,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.2
2017-08-08T00:00:00Z,Agosto,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.18
2017-09-08T00:00:00Z,Septiembre,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.16
2017-10-08T00:00:00Z,Octubre,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.14
2017-11-08T00:00:00Z,Noviembre,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.14
2017-08-14T00:00:00Z,Agosto,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.09
2017-08-15T00:00:00Z,Agosto,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.1
2017-08-16T00:00:00Z,Agosto,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.11
2017-08-17T00:00:00Z,Agosto,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.1
2017-08-18T00:00:00Z,Agosto,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.08
2017-08-22T00:00:00Z,Agosto,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.05
2017-08-23T00:00:00Z,Agosto,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.07
2017-08-24T00:00:00Z,Agosto,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.05
2017-08-25T00:00:00Z,Agosto,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.02
2017-08-28T00:00:00Z,Agosto,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.02
2017-08-29T00:00:00Z,Agosto,2017,Tasa nominal,ITAU CORPBANCA,plazo un mes,N,5.02
