TRM,UNIDAD,fecha,mes_trm,Year_trm,VIGENCIAHASTA
4151.55,COP,2024-06-15T00:00:00Z,Junio,2024,2024-06-17T00:00:00Z
4107.52,COP,2024-06-14T00:00:00Z,Junio,2024,2024-06-14T00:00:00Z
4023.26,COP,2024-06-13T00:00:00Z,Junio,2024,2024-06-13T00:00:00Z
3960.83,COP,2024-12-06T00:00:00Z,Diciembre,2024,2024-12-06T00:00:00Z
3944.14,COP,2024-08-06T00:00:00Z,Agosto,2024,2024-11-06T00:00:00Z
3938.53,COP,2024-07-06T00:00:00Z,Julio,2024,2024-07-06T00:00:00Z
3927.91,COP,2024-06-06T00:00:00Z,Junio,2024,2024-06-06T00:00:00Z
3909.65,COP,2024-05-06T00:00:00Z,Mayo,2024,2024-05-06T00:00:00Z
3860.92,COP,2024-01-06T00:00:00Z,Enero,2024,2024-04-06T00:00:00Z
3874.32,COP,2024-05-31T00:00:00Z,Mayo,2024,2024-05-31T00:00:00Z
3867.02,COP,2024-05-30T00:00:00Z,Mayo,2024,2024-05-30T00:00:00Z
3853.09,COP,2024-05-29T00:00:00Z,Mayo,2024,2024-05-29T00:00:00Z
3878.07,COP,2024-05-25T00:00:00Z,Mayo,2024,2024-05-28T00:00:00Z
3837.58,COP,2024-05-24T00:00:00Z,Mayo,2024,2024-05-24T00:00:00Z
3829.59,COP,2024-05-23T00:00:00Z,Mayo,2024,2024-05-23T00:00:00Z
3814.94,COP,2024-05-22T00:00:00Z,Mayo,2024,2024-05-22T00:00:00Z
3822.39,COP,2024-05-21T00:00:00Z,Mayo,2024,2024-05-21T00:00:00Z
3832.26,COP,2024-05-18T00:00:00Z,Mayo,2024,2024-05-20T00:00:00Z
3828.98,COP,2024-05-17T00:00:00Z,Mayo,2024,2024-05-17T00:00:00Z
3825.42,COP,2024-05-16T00:00:00Z,Mayo,2024,2024-05-16T00:00:00Z
3861.82,COP,2024-05-15T00:00:00Z,Mayo,2024,2024-05-15T00:00:00Z
3888.21,COP,2024-11-05T00:00:00Z,Noviembre,2024,2024-05-14T00:00:00Z
3900.38,COP,2024-10-05T00:00:00Z,Octubre,2024,2024-10-05T00:00:00Z
3902.63,COP,2024-09-05T00:00:00Z,Septiembre,2024,2024-09-05T00:00:00Z
3884.84,COP,2024-08-05T00:00:00Z,Agosto,2024,2024-08-05T00:00:00Z
3894.23,COP,2024-07-05T00:00:00Z,Julio,2024,2024-07-05T00:00:00Z
3895.41,COP,2024-04-05T00:00:00Z,Abril,2024,2024-06-05T00:00:00Z
3898.62,COP,2024-03-05T00:00:00Z,Marzo,2024,2024-03-05T00:00:00Z
3899.07,COP,2024-01-05T00:00:00Z,Enero,2024,2024-02-05T00:00:00Z
3873.44,COP,2024-04-30T00:00:00Z,Abril,2024,2024-04-30T00:00:00Z
3926.02,COP,2024-04-27T00:00:00Z,Abril,2024,2024-04-29T00:00:00Z
